Species,latitude,longitude
Asclepias speciosa,40.06518,-99.03667
Asclepias speciosa,45.19425,-99.02087
Asclepias speciosa,44.00721,-97.64522
Asclepias speciosa,41.52818,-101.69156
Asclepias speciosa,45.6639,-97.21517
Asclepias speciosa,47.26159,-105.78327
Asclepias speciosa,42.09542202,-104.7083382
Asclepias speciosa,40.70496,-99.37204
Asclepias speciosa,40.5894,-101.64323
Asclepias speciosa,40.98831,-102.34068
Asclepias speciosa,40.26349,-99.90139
Asclepias speciosa,40.8475,-101.37848
Asclepias speciosa,42.55896,-102.46407
Asclepias speciosa,46.43001,-105.05597
Asclepias speciosa,42.13645335,-104.3742893
Asclepias speciosa,36.82884,-99.7748
Asclepias speciosa,47.14359,-100.05802
Asclepias speciosa,48.53282034,-108.9165703
Asclepias speciosa,46.29083635,-107.0155118
Asclepias speciosa,47.00276,-108.33084
Asclepias speciosa,47.00776,-109.87492
Asclepias speciosa,40.61905,-103.18731
Asclepias speciosa,38.23194,-103.64404
Asclepias speciosa,41.4802,-100.64789
Asclepias speciosa,47.35377903,-102.6426737
Asclepias speciosa,48.41329206,-97.72397098
Asclepias speciosa,42.05668,-102.34777
Asclepias speciosa,41.31688,-102.13415
Asclepias speciosa,41.31688,-102.13415
Asclepias speciosa,48.21546,-106.66627
Asclepias speciosa,39.14745,-95.83786
Asclepias speciosa,38.04616,-103.19618
Asclepias speciosa,40.51053,-101.28647
Asclepias speciosa,48.36889,-99.99583
Asclepias speciosa,45.33193,-97.30465
Asclepias speciosa,44.93009,-101.27397
Asclepias speciosa,40.07581,-102.14702
Asclepias speciosa,41.48393,-103.79609
Asclepias speciosa,40.69944,-99.02413
Asclepias speciosa,40.2344,-100.51187
